Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultBus,SampleCount,ExactBusAccuracy,GraphDistanceMAE,MajorConfusionBus,MajorConfusionCount
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,360,180,44,30,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,360,180,44,1,36,0.9722222222222222,0.1388888888888889,30,1
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,360,180,44,6,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,360,180,44,10,36,0.75,1.0,30,9
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,360,180,44,24,36,0.75,0.75,30,9
ieee30,RandomForest,Baseline+NormVI,3,6;1;2,360,180,44,30,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,360,180,46,1,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,360,180,46,6,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,360,180,46,10,36,0.75,1.0,30,9
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,360,180,46,24,36,0.75,0.75,30,9
ieee30,ExtraTrees,Baseline+NormVI+Rank,3,6;1;2,360,180,46,30,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,360,180,46,1,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,360,180,46,6,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,360,180,46,10,36,0.75,1.0,30,9
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,360,180,46,24,36,0.75,0.75,30,9
ieee30,RandomForest,Baseline+NormVI+Rank,3,6;1;2,360,180,46,30,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,1,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,6,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,10,36,0.75,1.0,30,9
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,24,36,0.75,0.75,30,9
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,30,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,1,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,6,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,10,36,0.75,1.0,30,9
ieee30,RandomForest,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,24,36,0.75,0.75,30,9
ieee30,RandomForest,Baseline+NormVI+Rank+VI,3,6;1;2,360,180,48,30,36,1.0,0.0,-1,0
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,360,180,8,1,36,1.0,0.0,-1,0
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,360,180,8,6,36,1.0,0.0,-1,0
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,360,180,8,10,36,0.16666666666666666,3.2777777777777777,30,29
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,360,180,8,24,36,0.1388888888888889,2.2222222222222223,30,18
ieee30,ExtraTrees,SpatialOnly,3,6;1;2,360,180,8,30,36,0.3888888888888889,1.8333333333333333,24,22
ieee30,RandomForest,SpatialOnly,3,6;1;2,360,180,8,1,36,1.0,0.0,-1,0
ieee30,RandomForest,SpatialOnly,3,6;1;2,360,180,8,6,36,1.0,0.0,-1,0
