Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,CoarseCategory,SampleCount,Accuracy
ieee30,RandomForest,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,Phase,45,0.0
ieee30,RandomForest,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,ThreePhase,45,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,Ground,90,0.0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,Phase,45,0.0
ieee30,ExtraTrees,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,ThreePhase,45,1.0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,Ground,90,0.0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,Phase,45,0.0
ieee30,RandomForest,Baseline+NormVI+Rank+VI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,48,ThreePhase,45,1.0
ieee30,ExtraTrees,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,Ground,90,0.8333333333333334
ieee30,ExtraTrees,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,Phase,45,0.26666666666666666
ieee30,ExtraTrees,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,ThreePhase,45,0.044444444444444446
ieee30,RandomForest,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,Ground,90,0.8111111111111111
ieee30,RandomForest,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,Phase,45,0.3111111111111111
ieee30,RandomForest,SpatialOnly,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,8,ThreePhase,45,0.08888888888888889
