NetworkID,Model,Variant,WMUCount,CoarseCategory,Cases,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE
ieee30,ExtraTrees,C_existing_VC,5,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,C_existing_VC,5,Three_Phase,45,0.6666666666666666,0.6666666666666666,1.6666666666666667
ieee30,RandomForest,C_existing_VC,5,Ground,90,0.2,0.2,3.0
ieee30,RandomForest,C_existing_VC,5,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,C_existing_VC,5,Three_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,D_existing_norm,5,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,D_existing_norm,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,D_existing_norm,5,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,D_existing_norm,5,Ground,90,0.9777777777777777,0.9777777777777777,0.1111111111111111
ieee30,RandomForest,D_existing_norm,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,D_existing_norm,5,Three_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,E_existing_norm_rank,5,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,E_existing_norm_rank,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,E_existing_norm_rank,5,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,E_existing_norm_rank,5,Ground,90,1.0,1.0,0.0
ieee30,RandomForest,E_existing_norm_rank,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,E_existing_norm_rank,5,Three_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,5,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,F_existing_norm_rank_vi,5,Ground,90,1.0,1.0,0.0
ieee30,RandomForest,F_existing_norm_rank_vi,5,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,F_existing_norm_rank_vi,5,Three_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline,30,Ground,90,0.8,0.8,1.0
ieee30,ExtraTrees,Baseline,30,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,Baseline,30,Three_Phase,45,0.8,0.8,1.0
ieee30,RandomForest,Baseline,30,Ground,90,0.26666666666666666,0.43333333333333335,2.533333333333333
ieee30,RandomForest,Baseline,30,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,Baseline,30,Three_Phase,45,0.5111111111111111,0.6444444444444445,1.711111111111111
ieee30,ExtraTrees,A_voltage_only,30,Ground,90,0.8,0.8,1.0
ieee30,ExtraTrees,A_voltage_only,30,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,A_voltage_only,30,Three_Phase,45,0.8,0.8,1.0
ieee30,RandomForest,A_voltage_only,30,Ground,90,0.8,0.8,1.0
ieee30,RandomForest,A_voltage_only,30,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,A_voltage_only,30,Three_Phase,45,0.8222222222222222,0.8222222222222222,0.8888888888888888
ieee30,ExtraTrees,B_current_only,30,Ground,90,0.2,0.2,3.0
ieee30,ExtraTrees,B_current_only,30,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,B_current_only,30,Three_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,B_current_only,30,Ground,90,0.2,0.2,3.0
ieee30,RandomForest,B_current_only,30,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,B_current_only,30,Three_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,C_existing_VC,30,Ground,90,0.7555555555555555,0.7555555555555555,1.2222222222222223
ieee30,ExtraTrees,C_existing_VC,30,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,C_existing_VC,30,Three_Phase,45,0.7333333333333333,0.7333333333333333,1.3333333333333333
ieee30,RandomForest,C_existing_VC,30,Ground,90,0.2,0.2,3.0
ieee30,RandomForest,C_existing_VC,30,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,C_existing_VC,30,Three_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,D_existing_norm,30,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,D_existing_norm,30,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,D_existing_norm,30,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,D_existing_norm,30,Ground,90,1.0,1.0,0.0
ieee30,RandomForest,D_existing_norm,30,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,D_existing_norm,30,Three_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,E_existing_norm_rank,30,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,E_existing_norm_rank,30,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,E_existing_norm_rank,30,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,E_existing_norm_rank,30,Ground,90,1.0,1.0,0.0
ieee30,RandomForest,E_existing_norm_rank,30,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,E_existing_norm_rank,30,Three_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,F_existing_norm_rank_vi,30,Ground,90,1.0,1.0,0.0
ieee30,RandomForest,F_existing_norm_rank_vi,30,Phase_to_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,F_existing_norm_rank_vi,30,Three_Phase,45,1.0,1.0,0.0
