NetworkID,Model,Variant,WMUCount,TrueFaultBus,Cases,ExactBusAccuracy
ieee30,RandomForest,Baseline,30,6,36,0.3888888888888889
ieee30,RandomForest,Baseline,30,10,36,0.0
ieee30,RandomForest,Baseline,30,24,36,0.16666666666666666
ieee30,RandomForest,Baseline,30,30,36,0.0
ieee30,RandomForest,C_existing_VC,3,1,36,1.0
ieee30,RandomForest,C_existing_VC,3,6,36,0.05555555555555555
ieee30,RandomForest,C_existing_VC,3,10,36,0.0
ieee30,RandomForest,C_existing_VC,3,24,36,0.75
ieee30,RandomForest,C_existing_VC,3,30,36,0.7777777777777778
ieee30,RandomForest,C_existing_VC,5,1,36,1.0
ieee30,RandomForest,C_existing_VC,5,6,36,0.0
ieee30,RandomForest,C_existing_VC,5,10,36,0.0
ieee30,RandomForest,C_existing_VC,5,24,36,0.0
ieee30,RandomForest,C_existing_VC,5,30,36,0.0
ieee30,RandomForest,C_existing_VC,30,1,36,1.0
ieee30,RandomForest,C_existing_VC,30,6,36,0.0
ieee30,RandomForest,C_existing_VC,30,10,36,0.0
ieee30,RandomForest,C_existing_VC,30,24,36,0.0
ieee30,RandomForest,C_existing_VC,30,30,36,0.0
ieee30,RandomForest,D_existing_norm,3,1,36,1.0
ieee30,RandomForest,D_existing_norm,3,6,36,1.0
ieee30,RandomForest,D_existing_norm,3,10,36,1.0
ieee30,RandomForest,D_existing_norm,3,24,36,0.75
ieee30,RandomForest,D_existing_norm,3,30,36,1.0
ieee30,RandomForest,D_existing_norm,5,1,36,1.0
ieee30,RandomForest,D_existing_norm,5,6,36,1.0
ieee30,RandomForest,D_existing_norm,5,10,36,1.0
ieee30,RandomForest,D_existing_norm,5,24,36,0.9444444444444444
ieee30,RandomForest,D_existing_norm,5,30,36,1.0
ieee30,RandomForest,D_existing_norm,30,1,36,1.0
ieee30,RandomForest,D_existing_norm,30,6,36,1.0
ieee30,RandomForest,D_existing_norm,30,10,36,1.0
ieee30,RandomForest,D_existing_norm,30,24,36,1.0
ieee30,RandomForest,D_existing_norm,30,30,36,1.0
ieee30,RandomForest,E_existing_norm_rank,3,1,36,1.0
ieee30,RandomForest,E_existing_norm_rank,3,6,36,1.0
ieee30,RandomForest,E_existing_norm_rank,3,10,36,1.0
ieee30,RandomForest,E_existing_norm_rank,3,24,36,0.7777777777777778
ieee30,RandomForest,E_existing_norm_rank,3,30,36,1.0
ieee30,RandomForest,E_existing_norm_rank,5,1,36,1.0
ieee30,RandomForest,E_existing_norm_rank,5,6,36,1.0
ieee30,RandomForest,E_existing_norm_rank,5,10,36,1.0
ieee30,RandomForest,E_existing_norm_rank,5,24,36,1.0
ieee30,RandomForest,E_existing_norm_rank,5,30,36,1.0
ieee30,RandomForest,E_existing_norm_rank,30,1,36,1.0
ieee30,RandomForest,E_existing_norm_rank,30,6,36,1.0
ieee30,RandomForest,E_existing_norm_rank,30,10,36,1.0
ieee30,RandomForest,E_existing_norm_rank,30,24,36,1.0
ieee30,RandomForest,E_existing_norm_rank,30,30,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,3,1,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,3,6,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,3,10,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,3,24,36,0.75
ieee30,RandomForest,F_existing_norm_rank_vi,3,30,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,5,1,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,5,6,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,5,10,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,5,24,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,5,30,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,30,1,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,30,6,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,30,10,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,30,24,36,1.0
ieee30,RandomForest,F_existing_norm_rank_vi,30,30,36,1.0
